LINK_ID,Source,Target,ROAD_USE,LANES,ROAD_RANK,ROAD_NAME,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,REMARK,USER_ID,WORKSTATE,DEPT_CODE,STNL_REG,ROAD_TYPE,ROAD_NO,TMPID,UPLOAD_ID,SOSFNODEID,SOSTNODEID,SHAPE_STLe
1920041500,1920013900,1920015600,0,3.0,104,외솔큰길,0,0,70.0,0.0,0.0,0.0,,,5,31000,192,0,-,,,,,542.887146832
1920041600,1920015600,1920013900,0,3.0,104,외솔큰길,0,0,70.0,0.0,0.0,0.0,,,5,31000,192,0,-,,,,,544.624501828
1920046600,1920015600,1920015800,0,5.0,104,번영로,0,0,70.0,0.0,0.0,0.0,,,5,31000,192,0,-,,,,,260.278625903
1920046500,1920015800,1920015600,0,5.0,104,번영로,0,0,70.0,0.0,0.0,0.0,,,5,31000,192,0,-,,,,,261.486153523
1920122800,1920006400,1920037700,0,1.0,104,행복5길,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,0,-,20111128011000,,,20111128011000,215.945845842
1920122900,1920037700,1920006400,0,1.0,104,행복5길,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,0,-,20111128011100,,20111128011000,,215.29018900900002
1920123000,1920005400,1920006100,0,1.0,104,학남길,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,0,-,20111128010800,,,,411.372230377
1920123100,1920006100,1920005400,0,1.0,104,학남길,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,0,-,20111128010900,,,,411.73429041699995
1920123200,1920037300,1920005400,0,1.0,104,내황4길,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,0,-,20111128010600,,20111128010500,,577.18392369
1920123300,1920005400,1920037300,0,1.0,104,내황4길,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,0,-,20111128010700,,,20111128010500,577.253065906
1920121500,1920038000,1920008600,0,2.0,104,장춘로,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,0,-,20111124043100,,20111124043000,,260.295053631
1920121600,1920008600,1920038000,0,2.0,104,장춘로,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,0,-,20111124043200,,,20111124043000,251.15035997299998
1920121700,1920005800,1920006200,0,1.0,104,-,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,0,-,20111124043700,,,,329.02461004599996
1920121800,1920039600,1920039700,0,1.0,104,함월1길,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,0,-,20111128035600,,20111128035500,20111128040000,94.7582424749
1920121900,1920039700,1920039600,0,1.0,104,함월1길,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,0,-,20111128035700,,20111128040000,20111128035500,96.5863433938
1920122000,1920038100,1920038300,0,1.0,104,유곡로,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,0,-,20111125101600,,20111125101500,20111125102000,441.515000605
1920122100,1920038300,1920038100,0,1.0,104,유곡로,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,0,-,20111125101700,,20111125102000,20111125101500,454.255666259
1920122200,1920038400,1920000800,0,1.0,104,유곡로,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,0,-,20111125102000,,20111125102500,,109.954294705
1920122300,1920038300,1920038400,0,2.0,104,유곡로,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,0,-,20111125101800,,20111125102000,20111125102500,251.354091989
1920122400,1920000800,1920038400,0,1.0,104,유곡로,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,0,-,20111125102100,,,20111125102500,113.429609989
1920122500,1920038400,1920038300,0,2.0,104,유곡로,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,0,-,20111125101900,,20111125102500,20111125102000,248.655208302
1920122600,1920000801,1920038400,0,1.0,104,-,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,0,-,20111125102200,,,20111125102500,232.85339500400002
1920122700,1920038400,1920000801,0,1.0,104,-,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,0,-,20111125102300,,20111125102500,,218.019093471
1920118500,1920039800,1920039900,0,1.0,104,동천4길,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,0,-,20111124015800,,20111124015500,20111124020000,62.803315622700005
1920118600,1920039900,1920039800,0,1.0,104,동천4길,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,0,-,20111124015900,,20111124020000,20111124015500,62.803315622700005
1920118700,1920035300,1920039800,0,1.0,104,동천2길,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,0,-,20111124015600,,,20111124015500,275.249630666
1920118800,1920039800,1920035300,0,1.0,104,동천2길,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,0,-,20111124015700,,20111124015500,,256.056054687
1920118900,1920040000,1920040100,0,1.0,104,시례교,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,3,-,20111124020200,,20111124020500,20111124021000,89.4763796329
1920119000,1920040100,1920040000,0,1.0,104,시례교,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,3,-,20111124020300,,20111124021000,20111124020500,94.98410441819999
1920119300,1920039400,1920039300,0,2.0,104,다전로,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,0,-,20111125104900,,20111125111500,20111125111000,14.8995402733
1920119400,1920039300,1920039400,0,2.0,104,다전로,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,0,-,20111125105000,,20111125111000,20111125111500,14.8994403308
1920119500,1920039400,1960090200,0,2.0,104,다전터널,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,4,-,20111125105100,,20111125111500,20111125113000,735.40640478
1920119600,1960090200,1920039400,0,2.0,104,다전터널,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,4,-,20111125105200,,20111125113000,20111125111500,714.10672033
1920119700,1920039300,1920039200,0,2.0,104,다전로,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,0,-,20111125104500,,20111125111000,20111125110500,211.420515805
1920119800,1920039200,1920039300,0,2.0,104,다전로,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,0,-,20111125104600,,20111125110500,20111125111000,211.391594775
1920119900,1920039200,1920039000,0,2.0,104,다전로,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,3,-,20111125104300,,20111125110500,20111125110000,183.430037226
1920120000,1920039000,1920039200,0,2.0,104,다전로,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,3,-,20111125104400,,20111125110000,20111125110500,187.572323956
1920120100,1920039500,1920039300,0,1.0,103,일반국도14호선,0,0,40.0,0.0,0.0,0.0,,,5,31000,192,0,14,20111125104700,,20111125112000,20111125111000,229.92485713599999
1920120200,1920039300,1920039100,0,1.0,103,일반국도14호선,0,0,40.0,0.0,0.0,0.0,,,5,31000,192,0,14,20111125104800,,20111125111000,20111125112500,236.123112547
1920120300,1920039000,1920038900,0,2.0,104,다전로,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,0,-,20111125104100,,20111125110000,20111125104500,791.335466284
1920120400,1920038900,1920039000,0,2.0,104,다전로,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,0,-,20111125104200,,20111125104500,20111125110000,797.039448722
1920120500,1920038700,1920038900,0,2.0,104,-,0,0,30.0,0.0,0.0,0.0,,,5,31000,192,0,-,20111125103700,,20111125105000,20111125104500,316.196425916
1920120600,1920038900,1920038700,0,2.0,104,-,0,0,30.0,0.0,0.0,0.0,,,5,31000,192,0,-,20111125103800,,20111125104500,20111125105000,308.615275575
1920120700,1920038800,1920038700,0,2.0,104,-,0,0,30.0,0.0,0.0,0.0,,,5,31000,192,3,-,20111125103900,,20111125105500,20111125105000,88.4339531065
1920120800,1920038700,1920038800,0,2.0,104,-,0,0,30.0,0.0,0.0,0.0,,,5,31000,192,3,-,20111125104000,,20111125105000,20111125105500,87.75243808459999
1920120900,1920038900,1920038600,0,2.0,104,다전로,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,0,-,20111125103500,,20111125104500,20111125104000,529.240698863
1920121000,1920038600,1920038500,0,2.0,104,다전로,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,4,-,20111125103300,,20111125104000,20111125103500,241.690990029
1920121100,1920038600,1920038900,0,2.0,104,다전로,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,0,-,20111125103600,,20111125104000,20111125104500,525.21488514
1920121200,1920038500,1920038600,0,2.0,104,다전로,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,4,-,20111125103400,,20111125103500,20111125104000,241.646276498
1920123400,1920037500,1920037400,0,1.0,104,신기11길,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,0,-,20111125100100,,20111125101000,20111125100000,85.423987213
1920123500,1920037400,1920037500,0,1.0,104,신기11길,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,0,-,20111125100200,,20111125100000,20111125101000,80.2151263511
1920123600,1920037400,1920037200,0,2.0,104,신기길,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,0,-,20111125100300,,20111125100000,20111125100500,154.542350533
1920123700,1920037200,1920037400,0,1.0,104,신기길,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,0,-,20111125100400,,20111125100500,20111125100000,165.443449739
1920123800,1920037800,1920037900,0,1.0,104,젊음의거리,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,0,-,20111124043300,,20111124043500,20111124044000,188.403255967
1920123900,1920037900,1920037800,0,1.0,104,젊음의거리,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,0,-,20111124043400,,20111124044000,20111124043500,172.606570788
1920124000,1920040100,1950032800,0,1.0,104,성혜1길,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,0,-,20111124020400,,20111124021000,20120228061000,91.8294926288
1920124100,1950032800,1920040100,0,1.0,104,성혜1길,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,0,-,20111124020500,,20120228061000,20111124021000,96.9562787393
1920124200,1920037900,1920037600,0,1.0,104,젊음의거리,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,0,-,20111124043500,,20111124044000,20120229104000,46.8592833008
1920124300,1920037600,1920005900,0,1.0,104,젊음의2거리,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,0,-,20120229104010,,20120229104000,,176.438988074
1920124400,1920005900,1920037600,0,1.0,104,젊음의2거리,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,0,-,20120229104020,,,20120229104000,194.713701664
1920124500,1920037600,1920037900,0,1.0,104,젊음의거리,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,0,-,20111124043600,,20120229104000,20111124044000,44.5982472249
1920004705,1920038800,1920002701,0,2.0,103,일반국도14호선,0,0,80.0,0.0,0.0,0.0,,,5,31000,192,0,14,,,20111125105500,,214.638033606
1920004805,1920002701,1920038800,0,2.0,103,일반국도14호선,0,0,80.0,0.0,0.0,0.0,,,5,31000,192,0,14,,,,20111125105500,212.739384024
1920013101,1920004400,1920037400,0,2.0,103,일반국도14호선,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,0,14,,,,20111125100000,120.53229776399999
1920013201,1920037400,1920004400,0,2.0,103,일반국도14호선,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,0,14,,,20111125100000,,121.502531233
1920013602,1920008300,1920037700,0,1.0,104,새치로,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,0,-,,,,20111128011000,214.30171512299998
1920021201,1920007200,1920038100,0,1.0,104,화진2길,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,0,-,,,,20111125101500,243.28328819
1920114102,1920039900,1920037000,0,1.0,104,-,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,0,-,,,20111124020000,,343.422918258
1920114202,1920037000,1920039900,0,1.0,104,-,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,0,-,,,,20111124020000,323.90026146400004
1920021101,1920038100,1920007200,0,1.0,104,화진2길,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,0,-,,,20111125101500,,242.887554267
1920004806,1920039100,1920002701,0,2.0,103,일반국도14호선,0,0,80.0,0.0,0.0,0.0,,,5,31000,192,0,14,,,20111125112500,,556.064386331
1920004706,1920002701,1920039100,0,2.0,103,일반국도14호선,0,0,80.0,0.0,0.0,0.0,,,5,31000,192,0,14,,,,20111125112500,555.276784405
1920106502,1920039600,1920034800,0,1.0,104,함월1길,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,0,-,,,20111128035500,,144.72315233700002
1920026201,1920038000,1920010500,0,1.0,104,동현길,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,0,-,,,20111124043000,,390.767946015
1920000802,1920038200,1920000300,0,3.0,103,일반국도7호선,0,0,80.0,0.0,0.0,0.0,,,5,31000,192,0,7,,,20111125103000,,455.217033052
1920106602,1920034800,1920039600,0,1.0,104,함월1길,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,0,-,,,,20111128035500,141.125924682
1920109902,1920034100,1920039700,0,1.0,104,함월1길,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,0,-,,,,20111128040000,144.971380213
1920026101,1920010500,1920038000,0,1.0,104,동현길,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,0,-,,,,20111124043000,387.56838657300005
1920018102,1920007400,1920037800,0,1.0,104,학성로,0,0,50.0,0.0,0.0,0.0,,,5,31000,192,0,-,,,,20111124043500,210.230192091
1920013502,1920037700,1920008300,0,1.0,104,새치로,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,0,-,,,20111128011000,,214.235165324
1920110002,1920039700,1920034100,0,1.0,104,함월1길,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,0,-,,,20111128040000,,148.614063117
1920000702,1920000300,1920038200,0,3.0,103,일반국도7호선,0,0,80.0,0.0,0.0,0.0,,,5,31000,192,0,7,,,,20111125103000,452.977642437
1920018202,1920037800,1920007400,0,1.0,104,학성로,0,0,50.0,0.0,0.0,0.0,,,5,31000,192,0,-,,,20111124043500,,213.985621014
1920013601,1920037700,1920004500,0,1.0,104,새치로,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,0,-,,,20111128011000,,157.944906317
1920013501,1920004500,1920037700,0,1.0,104,새치로,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,0,-,,,,20111128011000,158.147924542
1920026102,1920038000,1920008900,0,2.0,104,장춘로,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,0,-,,,20111124043000,,239.81060232
1920026202,1920008900,1920038000,0,2.0,104,장춘로,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,0,-,,,,20111124043000,243.06520520400002
1920109901,1920039700,1920034000,0,1.0,104,-,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,0,-,,,20111128040000,,47.3330161333
1920110001,1920034000,1920039700,0,1.0,104,-,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,0,-,,,,20111128040000,48.15652424859999
1920106601,1920039600,1920032900,0,1.0,104,-,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,0,-,,,20111128035500,,103.76938356299999
1920106501,1920032900,1920039600,0,1.0,104,-,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,0,-,,,,20111128035500,104.179920341
1920021102,1920009900,1920038100,0,1.0,104,유곡로,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,0,-,,,,20111125101500,38.047868881999996
1920021202,1920038100,1920009900,0,1.0,104,유곡로,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,0,-,,,20111125101500,,37.9804961869
1920114101,1920035400,1920039900,0,1.0,104,동천1길,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,0,-,,,,20111124020000,261.937302943
1920114201,1920039900,1920035400,0,1.0,104,동천1길,0,0,60.0,0.0,0.0,0.0,,,5,31000,192,0,-,,,20111124020000,,262.046646701
1920004808,1920002700,1920039500,0,2.0,103,일반국도14호선,0,0,80.0,0.0,0.0,0.0,,,5,31000,192,0,14,,,,20111125112000,46.9272203405
1920004708,1920039500,1920002700,0,2.0,103,일반국도14호선,0,0,80.0,0.0,0.0,0.0,,,5,31000,192,0,14,,,20111125112000,,48.094963683100005
1920004807,1920039500,1920039100,0,2.0,103,일반국도14호선,0,0,80.0,0.0,0.0,0.0,,,5,31000,192,0,14,,,20111125112000,20111125112500,35.1207872605
1920004707,1920039100,1920039500,0,2.0,103,일반국도14호선,0,0,80.0,0.0,0.0,0.0,,,5,31000,192,0,14,,,20111125112500,20111125112000,34.9922361516
1920004704,1920001901,1920038800,0,2.0,103,일반국도14호선,0,0,80.0,0.0,0.0,0.0,,,5,31000,192,0,14,,,,20111125105500,179.910565661
