cameraLocation,cameraNumber,cameraProject,Location 1
Eutaw and Lexington Market,1,Downtown,"(39.29115423990, -76.62094803270)"
Eutaw and Fayette,2,Downtown,"(39.29031875720, -76.62087253300)"
Eutaw and Baltimore,3,Downtown,"(39.28937538840, -76.62079335070)"
Eutaw and Redwood,4,Downtown,"(39.28858625230, -76.62097713630)"
Eutaw and Lombard,5,Downtown,"(39.28761003840, -76.62072447100)"
Eutaw and Camden,6,Downtown,"(39.28528388680, -76.62087691360)"
Paca and Pratt,7,Downtown,"(39.28635037930, -76.62219365190)"
Greene and Lombard,8,Downtown,"(39.28734327280, -76.62370500760)"
Greene and Baltimore,9,Downtown,"(39.28911811490, -76.62380501030)"
Greene and Fayette,10,Downtown,"(39.29033964100, -76.62384178920)"
Greene and Lexington,11,Downtown,"(39.29141360810, -76.62386389300)"
Paca and Fayette,12,Downtown,"(39.29043278610, -76.62224850040)"
S Howard St and W Lombard St,13,Downtown,"(39.28747210520, -76.61919028840)"
S Howard St and W Pratt St,14,Downtown,"(39.28614145930, -76.61930103960)"
S Howard St and W Camden St,15,Downtown,"(39.28538095740, -76.61904002940)"
S Hanover and W Pratt St,16,Downtown,"(39.28636080770, -76.61632134240)"
Hopkins Pl and W Lombard St,17,Downtown,"(39.28772030460, -76.61785289760)"
Park Ave and W Baltimore St,18,Downtown,"(39.28949208950, -76.61812268640)"
S Howard St and W Baltimore St,19,Downtown,"(39.28929558250, -76.61952622700)"
N Howard St and W Fayette St,20,Downtown,"(39.29034308730, -76.61957646580)"
N Howard St and W Lexington St,21,Downtown,"(39.29161503580, -76.61966372530)"
Park Ave and W Lexington St,22,Downtown,"(39.29170378180, -76.61796813310)"
N Liberty St and W Lexington St,23,Downtown,"(39.29153247650, -76.61727845170)"
N Liberty St and W Fayette St,24,Downtown,"(39.29041436390, -76.61779934520)"
Park Ave and W Fayette St,25,Downtown,"(39.29057620220, -76.61786076170)"
N Liberty St and Clay St,26,Downtown,"(39.29230675630, -76.61696261450)"
Cathedral St and W Saratoga St,27,Downtown,"(39.29307632450, -76.61660586030)"
Cathedral St and W Mulberry St,28,Downtown,"(39.29410280360, -76.61669917700)"
N Charles St and E Mulberry St,29,Downtown,"(39.29406792630, -76.61536160170)"
Cathedral St and W Franklin St,30,Downtown,"(39.29511220280, -76.61701884270)"
Park Ave and W Franklin St,31,Downtown,"(39.29510863690, -76.61833961330)"
Park Ave and W Mulberry St,32,Downtown,"(39.29411626020, -76.61826442160)"
Park Ave and W Saratoga St,33,Downtown,"(39.29289749550, -76.61799650710)"
N Howard St and W Saratoga St,34,Downtown,"(39.29277839950, -76.61957900050)"
N Howard St and W Mulberry St,35,Downtown,"(39.29405453150, -76.61964360750)"
N Howard St and W Franklin St,36,Downtown,"(39.29506884530, -76.61970774680)"
N Howard St and W Centre St,37,Downtown,"(39.29627307290, -76.61979434970)"
N Eutaw St and George St,38,Downtown,"(39.29583636280, -76.62125207370)"
S Paca St and W Baltimore St,39,Downtown,"(39.28934953680, -76.62237949430)"
N Eutaw St and W Saratoga,40,Downtown,"(39.29291866480, -76.62106147080)"
N Paca St and W Saratoga St,41,Downtown,"(39.29285320570, -76.62259962300)"
N Paca St and W Mulberry St,42,Downtown,"(39.29375555660, -76.62240983800)"
N Paca St and W Lexington St,43,Downtown,"(39.29134168840, -76.62230156510)"
N Greene St and W Franklin St,44,Downtown,"(39.29469212900, -76.62412131310)"
N Greene St and W Saratoga St,45,Downtown,"(39.29262611360, -76.62392436290)"
N Eutaw St and W Franklin St,46,Downtown,"(39.29494154180, -76.62139312280)"
N Eutaw St and Druid Hill Ave,47,Downtown,"(39.29653925290, -76.62145009260)"
N Eutaw St and W Mulberry St,48,Downtown,"(39.29381611500, -76.62112063110)"
N Paca St and George St,49,Downtown,"(39.29566135700, -76.62271918710)"
Cathedral St and W Centre St,50,Downtown,"(39.29635242630, -76.61683841820)"
Center Plaza and,51,Downtown,"(39.29129323820, -76.61648897980)"
Hopkins Plaza and,52,Downtown,"(39.28875950370, -76.61625299260)"
Charles and Baltimore,53,Downtown,"(39.28945021270, -76.61531923550)"
S Charles St and E Lombard St,54,Downtown,"(39.28764921140, -76.61514294140)"
Saint Paul St and E Lexington St,55,Downtown,"(39.29122054430, -76.61402638970)"
Light St and E Redwood St,56,Downtown,"(39.28894499860, -76.61361140500)"
N Calvert St and E Fayette St,57,Downtown,"(39.29049942400, -76.61226180310)"
S Calvert St and E Redwood St,58,Downtown,"(39.28882559180, -76.61231751010)"
S Calvert St and E Lombard St,59,Downtown,"(39.28771365720, -76.61200749630)"
Guilford Ave and E Lexington St,60,Downtown,"(39.29133583950, -76.61096467520)"
South St and E Baltimore St,61,Downtown,"(39.28976671280, -76.61087663510)"
South St and Water St,62,Downtown,"(39.28831797460, -76.61078105600)"
N Holiday St and E Saratoga St,63,Downtown,"(39.29252454670, -76.61049218270)"
N Holiday St and E Fayette St,64,Downtown,"(39.29052820490, -76.61034640640)"
Commerce St and E Lombard St,65,Downtown,"(39.28776303750, -76.61015930340)"
Commerce St and E Pratt St,66,Downtown,"(39.28673804130, -76.60986034030)"
Custom House Ave and,67,Downtown,"(39.28914518510, -76.60977477260)"
S Gay St and E Baltimore St,68,Downtown,"(39.28986781400, -76.60900714670)"
S Gay St and Water St,69,Downtown,"(39.28852673730, -76.60873149880)"
E Saratoga St and E Lexington St,70,Downtown,"(39.29132188490, -76.60771253910)"
Market Pl and E Lombard St,71,Downtown,"(39.28777576050, -76.60696072630)"
W Lexington St between Pearl St & Greene St,72,Downtown,"(39.29146151950, -76.62472344290)"
N Greene St and W Mulberry St,73,Downtown,"(39.29373206990, -76.62381307120)"
Druid Hill Ave and Saint Mary St,74,Downtown,"(39.29750593010, -76.62277580670)"
Pennsylvania Ave and Saint Mary St,75,Downtown,"(39.29586805780, -76.62511144920)"
N Eutaw St and W Monument St,76,Downtown,"(39.29719912940, -76.62133152820)"
Saratoga and Charles,77,Downtown,"(39.29222492940, -76.61527074280)"
Saint Paul St and Franklin,78,Downtown,"(39.29518713880, -76.61424303130)"
